Name,State,Party,Incumbent (yes/no),Chamber,Twitter Handle,Official Candidate
Susie Lee,Nevada 3,Democratic,yes,House of representatives,SusieLeeNV ; RepSusieLee,
Randy Hynes,Nevada 3,Democratic,no,House of representatives,RandellHynes,
April Becker,Nevada 3,Republican,no,House of representatives,VoteAprilBecker,
Clark Bossert,Nevada 3,Republican,no,House of representatives,Clark_Bossert,
Albert Goldberg,Nevada 3,Republican,no,House of representatives,NA,
John Kovacs,Nevada 3,Republican,no,House of representatives,KovacsForNV3,
Noah Malgeri,Nevada 3,Republican,no,House of representatives,Noah4NV,
Steven Horsford,Nevada 4,Democratic,yes,House of representatives,StevenHorsford ; RepHorsford,
Annie Black,Nevada 4,Republican,no,House of representatives,RealAnnieBlack,
Sam Peters,Nevada 4,Republican,no,House of representatives,SamPetersNevada,
Chance Bonaventura,Nevada 4,Republican,no,House of representatives,Chancefornv,
Chris Pappas,New Hampshire 1,Democratic,yes,House of representatives,ChrisPappasNH ; RepChrisPappas,
Julian Acciard,New Hampshire 1,Republican,no,House of representatives,acciard2022,
Tim Baxter,New Hampshire 1,Republican,no,House of representatives,TimBaxterNH,
Gail Huff,New Hampshire 1,Republican,no,House of representatives,gailhuffbrown,
Karoline Leavitt,New Hampshire 1,Republican,no,House of representatives,kleavittnh,
Matt Mowers,New Hampshire 1,Republican,no,House of representatives,mowers,
Gilead Towne,New Hampshire 1,Republican,no,House of representatives,GileadTowne,
William Michael Bryk,New Hampshire 2,Democratic,no,House of representatives,NA,
Annie Kuster,New Hampshire 2,Democratic,yes,House of representatives,AnnMcLaneKuster ; RepAnnieKuster,
Robert Burns,New Hampshire 2,Republican,no,House of representatives,BurnsForNH,
Dean Poirier,New Hampshire 2,Republican,no,House of representatives,DeanP4Congress,
Jeffrey Greeson,New Hampshire 2,Republican,no,House of representatives,NA,
Lily Tang Williams,New Hampshire 2,Republican,no,House of representatives,Lily4Liberty,
Donald Norcross,New Jersey 1,Democratic,yes,House of representatives,DonaldNorcross ; DonNorcross4NJ,
Mario De Santis,New Jersey 1,Democratic,no,House of representatives,DeSantisForD1,
Claire Gustafson,New Jersey 1,Republican,no,House of representatives,ClaireGForNJRep,
Tim Alexander,New Jersey 2,Democratic,no,House of representatives,talexander_NJ02,
Curtis Green,New Jersey 2,Democratic,no,House of representatives,RevCurtisGreen,
Carolyn Rush,New Jersey 2,Democratic,no,House of representatives,carolynrush31,
John Barker,New Jersey 2,Republican,no,House of representatives,Donate2Barker,
Jeff Van Drew,New Jersey 2,Republican,yes,House of representatives,Congressman_JVD,
Andy Kim,New Jersey 3,Democratic,yes,House of representatives,RepAndyKimNJ ; AndyKimNJ,
Reuven Hendler,New Jersey 3,Democratic,no,House of representatives,Reuvenhendler,
Nicholas Ferrara,New Jersey 3,Republican,no,House of representatives,NA,
Robert Healey Jr.,New Jersey 3,Republican,no,House of representatives,BobHealey4NJ,
Will Monk,New Jersey 3,Republican,no,House of representatives,willmonknj,
Ian Smith,New Jersey 3,Republican,no,House of representatives,iansmithfitness,
Matthew Jenkins,New Jersey 4,Democratic,no,House of representatives,NA,
Mike Crispi,New Jersey 4,Republican,no,House of representatives,MikeCrispiNJ,
Steve Gray,New Jersey 4,Republican,no,House of representatives,SteveGrayNJ4,
Chris Smith,New Jersey 4,Republican,yes,House of representatives,NA,
Josh Gottheimer,New Jersey 5,Democratic,yes,House of representatives,JoshGottheimer ; RepJoshG,
Nick De Gregorio,New Jersey 5,Republican,no,House of representatives,NickDGNJ,
Frank Pallotta,New Jersey 5,Republican,no,House of representatives,FrankPallottaNJ,
Frank Pallone,New Jersey 6,Democratic,yes,House of representatives,FrankPallone ; pallonefornj,
Sue Kiley,New Jersey 6,Republican,no,House of representatives,SueKileyNJ6,
Rik Mehta,New Jersey 6,Republican,no,House of representatives,RikMehta_NJ,
Gregg Mele,New Jersey 6,Republican,no,House of representatives,mele4congressnj,
Tom Toomey,New Jersey 6,Republican,no,House of representatives,TomToomeyNJ,
Tom Malinowski,New Jersey 7,Democratic,yes,House of representatives,Malinowski ; RepMalinowski,
Kevin Dorlon,New Jersey 7,Republican,no,House of representatives,kevin7dorlon,
John Flora,New Jersey 7,Republican,no,House of representatives,NA,
John Henry Isemann,New Jersey 7,Republican,no,House of representatives,johnisemann3,
Thomas Kean Jr.,New Jersey 7,Republican,no,House of representatives,KeanForCongress,
Erik Peterson,New Jersey 7,Republican,no,House of representatives,ErikPetersonD7,
Phil Rizzo,New Jersey 7,Republican,no,House of representatives,JerseyRizzo,
Sterling Irwin Schwab,New Jersey 7,Republican,no,House of representatives,sterlingschwab,
Robert Trugman,New Jersey 7,Republican,no,House of representatives,NA,
Robert J. Menendez,New Jersey 8,Democratic,no,House of representatives,RobMenendez4NJ,
David Ocampo Grajales,New Jersey 8,Democratic,no,House of representatives,DavidOcampoNJ,
Ane Roseborough-Eberhard,New Jersey 8,Democratic,no,House of representatives,ane_eberhard,
Ana Isabel Rivera,New Jersey 8,Republican,no,House of representatives,NA,
Bill Pascrell,New Jersey 9,Democratic,yes,House of representatives,BillPascrell ; PascrellforNJ,
Billy Prempeh,New Jersey 9,Republican,no,House of representatives,BillyPrempeh,
Patrick Quinn III,New Jersey 9,Republican,no,House of representatives,NA,
Akil Khalfani,New Jersey 10,Democratic,no,House of representatives,Akil4Congress,
Imani Oakley,New Jersey 10,Democratic,no,House of representatives,ImaniOakleyNJ10,
Donald Payne Jr.,New Jersey 10,Democratic,yes,House of representatives,RepDonaldPayne ; DonaldPayneJr,
David Pinckney,New Jersey 10,Republican,no,House of representatives,NA,
Garth Stewart,New Jersey 10,Republican,no,House of representatives,garth_nj,
Mikie Sherrill,New Jersey 11,Democratic,yes,House of representatives,MikieSherrill ; RepSherrill,
Toby Anderson,New Jersey 11,Republican,no,House of representatives,TobyAndersonNJ,
Paul DeGroot,New Jersey 11,Republican,no,House of representatives,DeGrootCongress,
Ruth McAndrew,New Jersey 11,Republican,no,House of representatives,NA,
Tayfun Selen,New Jersey 11,Republican,no,House of representatives,tayfun_selen,
Bonnie Watson Coleman,New Jersey 12,Democratic,yes,House of representatives,RepBonnie ; Bonnie4Congress,
Nick Catucci,New Jersey 12,Republican,no,House of representatives,nicatucci,
Darius Mayfield,New Jersey 12,Republican,no,House of representatives,MrMayfieldUSA,
Melanie Stansbury,New Mexico 1,Democratic,yes,House of representatives,MelanieforNM ; Rep_Stansbury,
Michelle Garcia Holmes,New Mexico 1,Republican,no,House of representatives,GarciaHolmes4NM,
Joshua Neal,New Mexico 1,Republican,no,House of representatives,TheRealMrNeal,
Darshan Patel,New Mexico 2,Democratic,no,House of representatives,PatelforNM,
Gabe Vasquez,New Mexico 2,Democratic,no,House of representatives,Gabe_NM,
Yvette Herrell,New Mexico 2,Republican,yes,House of representatives,Yvette4congress ; RepHerrell,
Teresa Leger Fernandez,New Mexico 3,Democratic,yes,House of representatives,TeresaForNM ; TeresaForNM,
Alexis Martinez Johnson,New Mexico 3,Republican,no,House of representatives,alexisjohnsonnm,
Bridget Fleming,New York 1,Democratic,no,House of representatives,bridgetmfleming,
Jackie Gordon,New York 1,Democratic,no,House of representatives,VoteJackie4NY,
Kara Hahn,New York 1,Democratic,no,House of representatives,karahahn,
Austin Smith,New York 1,Democratic,no,House of representatives,aconnellsmith,
Yan Xiong,New York 1,Democratic,no,House of representatives,YanForNYC,
Alexandre Zajic,New York 1,Democratic,no,House of representatives,NA,
Anthony Figliola,New York 1,Republican,no,House of representatives,NA,
Nick LaLota,New York 1,Republican,no,House of representatives,nicklalota,
Edward Francis Moore Jr.,New York 1,Republican,no,House of representatives,NA,
TBD,New York 2,Democratic,no,House of representatives,,
Robert Cornicelli,New York 2,Republican,no,House of representatives,cornicelliny,
Cait Corrigan,New York 2,Republican,no,House of representatives,iamcaitcorrigan,
Andrew Garbarino,New York 2,Republican,yes,House of representatives,GarbarinoforNY ; RepGarbarino,
Mike Rakebrandt,New York 2,Republican,no,House of representatives,mike4congress2,
Alessandra Biaggi,New York 3,Democratic,no,House of representatives,Biaggi4NY,
Melanie D'Arrigo,New York 3,Democratic,no,House of representatives,DarrigoMelanie,
Jon Kaiman,New York 3,Democratic,no,House of representatives,Kaiman4Congress,
Josh Lafazan,New York 3,Democratic,no,House of representatives,JoshLafazan,
Reema Rasool,New York 3,Democratic,no,House of representatives,reemarasool,
Rob Zimmerman,New York 3,Democratic,no,House of representatives,ZimmermanRob,
George Santos,New York 3,Republican,no,House of representatives,Santos4Congress,
Kevin Surdi,New York 3,Republican,no,House of representatives,Surdi4NY,
Siela Bynoe,New York 4,Democratic,no,House of representatives,Bynoe4Congress,
Keith Corbett,New York 4,Democratic,no,House of representatives,Keith4Congress,
Laura Gillen,New York 4,Democratic,no,House of representatives,LauraAGillen,
Carrié Solages,New York 4,Democratic,no,House of representatives,CarrieSolages,
Kevin Shakil,New York 4,Democratic,no,House of representatives,kevin_shakil,
Muzibul Huq,New York 4,Democratic,no,House of representatives,MuzibulDr,
Jason Abelove,New York 4,Democratic,no,House of representatives,AbeloveL,
Anthony D'Esposito,New York 4,Republican,no,House of representatives,ANTHONYDESPO,
Bill Staniford,New York 4,Republican,no,House of representatives,StanifordForNY,
Frankie Lozada,New York 5,Democratic,no,House of representatives,Lozada2022,
Gregory Meeks,New York 5,Democratic,yes,House of representatives,GregMeeksNYC ; RepGregoryMeeks,
Paul King,New York 5,Republican,no,House of representatives,Paul4USCongress,
Grace Meng,New York 6,Democratic,yes,House of representatives,Grace4NY ; RepGraceMeng,
Jesus Gonzalez,New York 6,Republican,no,House of representatives,NA,
Nydia Velázquez,New York 7,Democratic,yes,House of representatives,NydiaVelazquez ; ReElectNydia,
Juan Pagan,New York 7,Republican,no,House of representatives,NA,
Queen Johnson,New York 8,Democratic,no,House of representatives,QueenJohnson_,
Hakeem Jeffries,New York 8,Democratic,yes,House of representatives,RepJeffries ; hakeemjeffries,
Brian Mannix,New York 8,Republican,no,House of representatives,mannixlab,
Isiah James,New York 9,Democratic,no,House of representatives,isiah4congress,
Yvette Clarke,New York 9,Democratic,yes,House of representatives,RepYvetteClarke ; VoteYvette,
TBD,New York 9,Republican,no,House of representatives,NA,
Ashmi Sheth,New York 10,Democratic,no,House of representatives,ashmi4congress,
Jerry Nadler,New York 10,Democratic,yes,House of representatives,JerryNadler ; RepJerryNadler,
Brian Robinson,New York 10,Democratic,no,House of representatives,votebrian,
Benine Hamdan,New York 10,Republican,no,House of representatives,najimbenine,
Komi Agoda-Koussema,New York 11,Democratic,no,House of representatives,NAjimbenine,
Brittany Ramos DeBarros,New York 11,Democratic,no,House of representatives,Britt4Congress,
Max Rose,New York 11,Democratic,no,House of representatives,MaxRose4NY,
Nicole Malliotakis,New York 11,Republican,yes,House of representatives,NMalliotakis ; RepMalliotakis,
Rana Abdelhamid,New York 12,Democratic,no,House of representatives,RanaForCongress,
Jesse Cerrotti,New York 12,Democratic,no,House of representatives,JesseCerrotti,
Maya Contreras,New York 12,Democratic,no,House of representatives,mayatcontreras,
Carolyn Maloney,New York 12,Democratic,yes,House of representatives,RepMaloney ; CarolynBMaloney,
Maud Maron,New York 12,Democratic,no,House of representatives,MaudMaron,
Suraj Patel,New York 12,Democratic,no,House of representatives,surajpatelnyc,
TBD,New York 12,Republican,no,House of representatives,NA,
Adriano Espaillat,New York 13,Democratic,yes,House of representatives,EspaillatNY ; RepEspaillat,
TBD,New York 13,Republican,no,House of representatives,NA,
Alexandria Ocasio-Cortez,New York 14,Democratic,yes,House of representatives,AOC ; RepAOC,
Desi Cuellar,New York 14,Republican,no,House of representatives,DesiJCuellar,
Tina Forte,New York 14,Republican,no,House of representatives,TinaForteUSA,
Ritchie Torres,New York 15,Democratic,yes,House of representatives,RitchieTorres ; RepRitchie,
TBD,New York 15,Republican,no,House of representatives,NA,
Vedat Gashi,New York 16,Democratic,no,House of representatives,LegislatorGashi,
Jamaal Bowman,New York 16,Democratic,yes,House of representatives,JamaalBowmanNY ; RepBowman,
Patrick Delices,New York 16,Republican,no,House of representatives,PD4Congress,
William Faulkner,New York 16,Republican,no,House of representatives,NA,
Mondaire Jones,New York 17,Democratic,yes,House of representatives,MondaireJones ; RepMondaire,
Charles Falciglia,New York 17,Republican,no,House of representatives,NA,
Jack Schrepel,New York 17,Republican,no,House of representatives,NA,
Sean Patrick Maloney,New York 18,Democratic,yes,House of representatives,RepSeanMaloney ; spmaloney,
Colin Schmitt,New York 18,Republican,no,House of representatives,colinschmitt,
Michelle Hinchey,New York 19,Democratic,no,House of representatives,MichelleHinchey,
Pat Ryan,New York 19,Democratic,no,House of representatives,PatRyanUC,
Marc Molinaro,New York 19,Republican,no,House of representatives,marcmolinaro,
Brandon Buccola,New York 19,Republican,no,House of representatives,NA,
Jack Fallon-Underwood,New York 20,Democratic,no,House of representatives,JackForNY20,
Slava Rar,New York 20,Democratic,no,House of representatives,RarRostislav,
Justin Raphael Chaires,New York 20,Democratic,no,House of representatives,JRCforAssembly,
Cole Francis Matthews,New York 20,Democratic,no,House of representatives,NA,
Paul Tonko,New York 20,Democratic,no,House of representatives,RepPaulTonko ; PaulTonko,
Liz Joy,New York 20,Republican,no,House of representatives,LizLemeryJoy,
Matt Castelli,New York 21,Democratic,no,House of representatives,CastelliMatt,
Matt Putorti,New York 21,Democratic,no,House of representatives,MattPutorti,
Ezra Watson,New York 21,Democratic,no,House of representatives,EzraWatsonforNY,
Lonny William Koons,New York 21,Republican,no,House of representatives,Lonny_Koons,
Elise Stefanik,New York 21,Republican,yes,House of representatives,EliseStefanik ; RepStefanik,
Francis Conole,New York 22,Democratic,no,House of representatives,FDConole,
Vanessa Fajans-Turner,New York 22,Democratic,no,House of representatives,vfajans,
Sarah Hood,New York 22,Democratic,no,House of representatives,SarahKleeHoodNY,
Chol Majok,New York 22,Democratic,no,House of representatives,thecholmajok ; Chol_4Congress,
Josh Riley,New York 22,Democratic,no,House of representatives,JoshuaUE99,
Samuel D. Roberts,New York 22,Democratic,no,House of representatives,samrobertsny,
Mike Sigler,New York 22,Republican,no,House of representatives,Sigler4Congress,
Brandon Williams,New York 22,Republican,no,House of representatives,Brandon4ny22,
Max Della Pia,New York 23,Democratic,no,House of representatives,DellaPiaForNY23,
Rich Moon,New York 23,Republican,no,House of representatives,RichMoon23,
Joe Sempolinski,New York 23,Republican,no,House of representatives,JoeSempo,
Claudia Tenney,New York 23,Republican,yes,House of representatives,claudiatenney ; RepTenney,
Steven Holden,New York 24,Democratic,no,House of representatives,believein_steve,
Shelley Skellington,New York 24,Democratic,no,House of representatives,Skellin1Shelley,
Mario Fratto,New York 24,Republican,no,House of representatives,MarioFratto,
Chris Jacobs,New York 24,Republican,yes,House of representatives,JacobsNY24 ; RepJacobs,
John Murtari,New York 24,Republican,no,House of representatives,VoteCitizenJohn,
Joseph Morelle,New York 25,Democratic,yes,House of representatives,RepJoeMorelle ; votemorelle,
La'Ron Singletary,New York 25,Republican,no,House of representatives,LaRonSingletary,
Brian Higgins,New York 26,Democratic,yes,House of representatives,RepBrianHiggins ; Higgins4WNY,
Emin Egriu,New York 26,Democratic,no,House of representatives,Egriu,
Steven L. Sams II,New York 26,Republican,no,House of representatives,StevenLSamsII,
Julian Bishop Sr.,North Carolina 1,Democratic,no,House of representatives,NA,no
Don Davis,North Carolina 1,Democratic,no,House of representatives,DonDavisNC,yes
Jason Spriggs,North Carolina 1,Democratic,no,House of representatives,JasonSpriggs4NC,no
Erica Smith,North Carolina 1,Democratic,no,House of representatives,EricaforUS,no
Will Aiken,North Carolina 1,Republican,no,House of representatives,NA,no
Brad Murphy,North Carolina 1,Republican,no,House of representatives,MurphyforNC,no
Ernest Reeves,North Carolina 1,Republican,no,House of representatives,ETRNC,no
Brent Roberson,North Carolina 1,Republican,no,House of representatives,Brent4Congress,no
Sandy Roberson,North Carolina 1,Republican,no,House of representatives,SandyRobersonNC,no
Sandy Smith,North Carolina 1,Republican,no,House of representatives,SandySmithNC,yes
Billy Strickland,North Carolina 1,Republican,no,House of representatives,NA,no
Deborah K. Ross,North Carolina 2,Democratic,yes,House of representatives,DeborahRossNC ; RepDeborahRoss,yes
Max Ganorkar,North Carolina 2,Republican,no,House of representatives,MaxCongress,no
Adina Safta,North Carolina 2,Republican,no,House of representatives,NA,no
Christine Villaverde,North Carolina 2,Republican,no,House of representatives,Villaverde4NC,yes
Barbara Gaskins,North Carolina 3,Democratic,no,House of representatives,Barbara4NC,yes
Joe Swartz,North Carolina 3,Democratic,no,House of representatives,JoeSwartzNC,no
Tony Cowden,North Carolina 3,Republican,no,House of representatives,TonyCowdenNC,no
Eric Earhart,North Carolina 3,Republican,no,House of representatives,EricJEarhart,no
Brian Michael Friend,North Carolina 3,Republican,no,House of representatives,NA,no
Greg Murphy,North Carolina 3,Republican,yes,House of representatives,GregMurphyMD ; RepGregMurphy,yes
George Papastrat,North Carolina 3,Republican,no,House of representatives,gpapastrat,no
Clay Aiken,North Carolina 4,Democratic,no,House of representatives,clayaiken,no
Nida Allam,North Carolina 4,Democratic,no,House of representatives,NidaAllam,no
Crystal Cavalier,North Carolina 4,Democratic,no,House of representatives,MosnukheNomp,no
Valerie Foushee,North Carolina 4,Democratic,no,House of representatives,ValFoushee,yes
Matt Grooms,North Carolina 4,Democratic,no,House of representatives,NA,no
Stephen Valentine,North Carolina 4,Democratic,no,House of representatives,Valentine_NC4th,no
Ashley Ward,North Carolina 4,Democratic,no,House of representatives,Ward4NC,no
Richard Watkins III,North Carolina 4,Democratic,no,House of representatives,RLWatkinsNC,no
Courtney Geels,North Carolina 4,Republican,no,House of representatives,CourtneyGeels,yes
Robert Thomas,North Carolina 4,Republican,no,House of representatives,NA,no
Kyle Parrish,North Carolina 5,Democratic,no,House of representatives,KP4NC,yes
Michael Ackerman,North Carolina 5,Republican,no,House of representatives,AckermanForNC,no
Virginia Foxx,North Carolina 5,Republican,yes,House of representatives,virginiafoxx ; foxxforcongress,yes
Kathy Manning,North Carolina 6,Democratic,yes,House of representatives,KathyManningNC ; RepKManning,yes
Gerry Austin,North Carolina 6,Republican,no,House of representatives,ElectAustin,no
Marvin Boguslawski,North Carolina 6,Republican,no,House of representatives,MarvinBoguslaw,no
Christian Castelli,North Carolina 6,Republican,no,House of representatives,Castelli4NC,yes
Mary Ann Contogiannis,North Carolina 6,Republican,no,House of representatives,MContogiannis,no
Lee Haywood,North Carolina 6,Republican,no,House of representatives,1Haywood,no
Laura Pichardo,North Carolina 6,Republican,no,House of representatives,LauraPichardoNC,no
Bill Schuch,North Carolina 6,Republican,no,House of representatives,NA,no
Charles Evans,North Carolina 7,Democratic,no,House of representatives,NA,
Charles Graham,North Carolina 7,Democratic,no,House of representatives,CharlesGrahamNC,
Steve Miller,North Carolina 7,Democratic,no,House of representatives,SteveMillerNC,no
Yushonda Midgette,North Carolina 7,Democratic,no,House of representatives,NA,no
David Rouzer,North Carolina 7,Republican,yes,House of representatives,DavidRouzer ; RepDavidRouzer,yes
Max Southworth-Beckwith,North Carolina 7,Republican,no,House of representatives,Max4congress1,no
Scott Huffman,North Carolina 8,Democratic,no,House of representatives,HuffmanForNC,yes
Dan Bishop,North Carolina 8,Republican,yes,House of representatives,jdanbishop ; RepDanBishop,yes
Ben Clark,North Carolina 9,Democratic,no,House of representatives,BenClarkNC,yes
Michael Adriani,North Carolina 9,Republican,no,House of representatives,NA,no
Jennyfer Bucardo,North Carolina 9,Republican,no,House of representatives,jenforcongress,no
Richard Hudson,North Carolina 9,Republican,yes,House of representatives,RepRichHudson ; RepHudsonNC,yes
Francisco Rios,North Carolina 9,Republican,no,House of representatives,RiosVote,no
Michael Felder,North Carolina 10,Democratic,no,House of representatives,NA,no
Pam Genant,North Carolina 10,Democratic,no,House of representatives,PamGenant,yes
Jeff Gregory,North Carolina 10,Republican,no,House of representatives,NA,no
Michael Magnotta,North Carolina 10,Republican,no,House of representatives,MagnottaThe,no
Patrick McHenry,North Carolina 10,Republican,yes,House of representatives,PatrickMcHenry ; McHenryCampaign,yes
Gary Robinson,North Carolina 10,Republican,no,House of representatives,NA,no
Richard Speer,North Carolina 10,Republican,no,House of representatives,NA,no
Jasmine Beach-Ferrara,North Carolina 11,Democratic,no,House of representatives,JBeachFerrara,yes
Jay Carey,North Carolina 11,Democratic,no,House of representatives,JayCareyNC,no
Katie Dean,North Carolina 11,Democratic,no,House of representatives,ElectKatieDean,no
Marco Gutierrez,North Carolina 11,Democratic,no,House of representatives,NA,no
Bo Hess,North Carolina 11,Democratic,no,House of representatives,bohessforus,no
Bynum Lunsford,North Carolina 11,Democratic,no,House of representatives,NA,no
Matthew Burril,North Carolina 11,Republican,no,House of representatives,burril4congress,no
Madison Cawthorn,North Carolina 11,Republican,yes,House of representatives,CawthornforNC ; RepCawthorn,no
Chuck Edwards,North Carolina 11,Republican,no,House of representatives,ChuckEdwards4NC,yes
Rod Honeycutt,North Carolina 11,Republican,no,House of representatives,CuttForCongress,no
Wendy Nevarez,North Carolina 11,Republican,no,House of representatives,WendyforWNC,no
Bruce O'Connell,North Carolina 11,Republican,no,House of representatives,Bruce_OConnell,no
Kristie Sluder,North Carolina 11,Republican,no,House of representatives,KristieSluder1,no
Michele Woodhouse,North Carolina 11,Republican,no,House of representatives,NC11_Woodhouse,no
Alma Adams,North Carolina 12,Democratic,no,House of representatives,AlmaforCongress ; RepAdams,yes
John Sharkey,North Carolina 12,Democratic,no,House of representatives,johnsharkey2022,no
Andrew Huffman,North Carolina 12,Republican,no,House of representatives,NA,no
Nalini Joseph,North Carolina 12,Republican,no,House of representatives,GoNaliniJoseph,no
Tyler Lee,North Carolina 12,Republican,no,House of representatives,votetylerlee,yes
Jamie Campbell Bowles,North Carolina 13,Democratic,no,House of representatives,jcb4nc,no
Nathan Click,North Carolina 13,Democratic,no,House of representatives,Nathan Click,no
Denton Lee,North Carolina 13,Democratic,no,House of representatives,DentonLeeNC,no
Wiley Nickel,North Carolina 13,Democratic,no,House of representatives,wileynickel,yes
Sam Searcy,North Carolina 13,Democratic,no,House of representatives,ElectSamSearcy,no
DeVan Barbour,North Carolina 13,Republican,no,House of representatives,devanbarbour,no
Kelly Daughtry,North Carolina 13,Republican,no,House of representatives,KellyDaughtryNC,no
Renee Ellmers,North Carolina 13,Republican,no,House of representatives,RepReneeEllmers,no
Bo Hines,North Carolina 13,Republican,no,House of representatives,BoHines,yes
Kent Keirsey,North Carolina 13,Republican,no,House of representatives,KentKeirseyNC,no
Jessica Morel,North Carolina 13,Republican,no,House of representatives,NA,no
Chad Slotta,North Carolina 13,Republican,no,House of representatives,ChadSlotta,no
Kevin Alan Wolff,North Carolina 13,Republican,no,House of representatives,NA,no
Jeff Jackson,North Carolina 14,Democratic,no,House of representatives,JeffJacksonNC,yes
Ramin Mammadov,North Carolina 14,Democratic,no,House of representatives,ram4congress,no
Pat Harrigan,North Carolina 14,Republican,no,House of representatives,PatHarriganNC,yes
Jonathan Simpson,North Carolina 14,Republican,no,House of representatives,realjdsimpson,no
Mark Haugen,North Dakota 1,Democratic,no,House of representatives,MarkHaugen20,
Kelly Armstrong,North Dakota 1,Republican,yes,House of representatives,Armstrong_ND ; RepArmstrongND,
Greg Landsman,Ohio 1,Democratic,no,House of representatives,votelandsman,yes
Steve Chabot,Ohio 1,Republican,yes,House of representatives,SteveChabot ; RepSteveChabot,yes
Samantha Meadows,Ohio 2,Democratic,no,House of representatives,SMeadows4OH2,yes
Alan Darnowsky,Ohio 2,Democratic,no,House of representatives,DarnowskyAlan,no
Brad Wenstrup,Ohio 2,Republican,yes,House of representatives,bradwenstrup ; RepBradWenstrup,yes
Joyce Beatty,Ohio 3,Democratic,yes,House of representatives,JoyceBeatty ; RepBeatty,yes
Lee Stahley,Ohio 3,Republican,no,House of representatives,LeeStahley,yes
Tamie Wilson,Ohio 4,Democratic,no,House of representatives,Tamie_Wilson_,yes
Jeffrey Sites,Ohio 4,Democratic,no,House of representatives,jeffreysites,no
Jim Jordan,Ohio 4,Republican,yes,House of representatives,Jim_Jordan,yes
Craig Swartz,Ohio 5,Democratic,no,House of representatives,ForSwartz,yes
Martin Heberling,Ohio 5,Democratic,no,House of representatives,HeberlingOH,no
Bob Latta,Ohio 5,Republican,yes,House of representatives,boblatta ; latta4congress,yes
Louis Lyras,Ohio 6,Democratic,no,House of representatives,lyrascongress,yes
Martin Alexander,Ohio 6,Democratic,no,House of representatives,NA,no
Eric Scott Jones,Ohio 6,Democratic,no,House of representatives,OhioEricJones,no
Shawna Roberts,Ohio 6,Democratic,no,House of representatives,RobertsOhioD6,no
Bill Johnson,Ohio 6,Republican,yes,House of representatives,RepBillJohnson ; JohnsonLeads,yes
John Anderson,Ohio 6,Republican,no,House of representatives,NA,no
Michael Morgenstern,Ohio 6,Republican,no,House of representatives,Morgenstern2022,no
Gregory Zelenitz,Ohio 6,Republican,no,House of representatives,NA,no
Matthew Diemer,Ohio 7,Democratic,no,House of representatives,MatthewDiemer,yes
Tristan Rader,Ohio 7,Democratic,no,House of representatives,TWRader,no
Max Miller,Ohio 7,Republican,no,House of representatives,MaxMillerOH,yes
Anthony Leon Alexander,Ohio 7,Republican,no,House of representatives,NA,no
Charlie Gaddis,Ohio 7,Republican,no,House of representatives,CharlieCongress,no
Jonah Schulz,Ohio 7,Republican,no,House of representatives,JonahSchulzOH,no
Vanessa Enoch,Ohio 8,Democratic,no,House of representatives,DrVEnoch,yes
Warren Davidson,Ohio 8,Republican,yes,House of representatives,WarrenDavidson ; Vote_Davidson,yes
Phil Heimlich,Ohio 8,Republican,no,House of representatives,philheimlich,no
Marcy Kaptur,Ohio 9,Democratic,yes,House of representatives,RepMarcyKaptur ; Marcy_Kaptur,yes
J. R. Majewski,Ohio 9,Republican,no,House of representatives,JRMajewski,yes
Beth Deck,Ohio 9,Republican,no,House of representatives,NA,no
Theresa Gavarone,Ohio 9,Republican,no,House of representatives,theresagavarone,no
Craig Riedel,Ohio 9,Republican,no,House of representatives,craig_riedel,no
David Esrati,Ohio 10,Democratic,no,House of representatives,esrati,yes
Kirk Benjamin,Ohio 10,Democratic,no,House of representatives,BenjaminDKirk,no
Jeff Hardenbrook,Ohio 10,Democratic,no,House of representatives,NA,no
Baxter Stapleton,Ohio 10,Democratic,no,House of representatives,baxterstapleton,no
Mike Turner,Ohio 10,Republican,yes,House of representatives,MikeTurnerOH ; RepMikeTurner,yes
Shontel Brown,Ohio 11,Democratic,yes,House of representatives,RepShontelBrown ; ShontelMBrown,yes
Nina Turner,Ohio 11,Democratic,no,House of representatives,ninaturner,no
Eric J. Brewer,Ohio 11,Republican,no,House of representatives,NA,yes
James Hemphill,Ohio 11,Republican,no,House of representatives,NA,no
Amy Rippel-Elton,Ohio 12,Democratic,no,House of representatives,NA,yes
Michael Fletcher,Ohio 12,Democratic,no,House of representatives,fletcherforohio,no
Troy Balderson,Ohio 12,Republican,yes,House of representatives,Troy_Balderson ; RepBalderson,yes
Brandon Michael Lape,Ohio 12,Republican,no,House of representatives,LapeforOhio,no
Emilia Sykes,Ohio 13,Democratic,no,House of representatives,EmiliaSykesOH,yes
Madison Gesiotto,Ohio 13,Republican,no,House of representatives,madisongesiotto,yes
Shay Hawkins,Ohio 13,Republican,no,House of representatives,Shay_Hawkins_OH,no
Santana F. King,Ohio 13,Republican,no,House of representatives,Santanafking,no
Janet Porter,Ohio 13,Republican,no,House of representatives,NA,no
Dante N. Sabatucci,Ohio 13,Republican,no,House of representatives,dsabatucci,no
Ryan Saylor,Ohio 13,Republican,no,House of representatives,SaylorForOH13,no
Greg Wheeler,Ohio 13,Republican,no,House of representatives,VoteGregWheeler,no
Matt Kilboy,Ohio 14,Democratic,no,House of representatives,mattkilboy,yes
David Joyce,Ohio 14,Republican,yes,House of representatives,RepDaveJoyce ; DaveJoyceOH14,yes
